from_path,new_url,http_status,title,content_type,source_full_url,needs_manual_review
/,/,200,H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/,
/index.php/brand/terry-naturally,/products.html?brand=terry-naturally,200,Terry Naturally :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/brand/terry-naturally,
/index.php/brand/unicity,/products.html?brand=unicity,200,Unicity :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/brand/unicity,
/index.php/brand/vista-life,/products.html?brand=vista-life,200,Vista Life :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/brand/vista-life,
/index.php/cart,/index.html,200,Cart :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/cart,
/index.php/category,/categories.html,200,Shop by Category :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category,
/index.php/category/allergy-health,/products.html?category=allergy-health,200,Allergy Health :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/allergy-health,
/index.php/category/antioxidants,/products.html?category=antioxidants,200,Antioxidants :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/antioxidants,
/index.php/category/blood-pressure,/products.html?category=blood-pressure,200,Blood Pressure :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/blood-pressure,
/index.php/category/blood-sugar,/products.html?category=blood-sugar,200,Blood Sugar :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/blood-sugar,
/index.php/category/bodybuilding-pre-workout,/products.html?category=bodybuilding-pre-workout,200,Bodybuilding Pre-Workout :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/bodybuilding-pre-workout,
/index.php/category/digestion,/products.html?category=digestion,200,Digestion :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/digestion,
/index.php/category/fat-burners,/products.html?category=fat-burners,200,Fat Burners :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/fat-burners,
/index.php/category/immune,/products.html?category=immune,200,Immune :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/immune,
/index.php/category/joint-pain,/products.html?category=joint-pain,200,Joint Pain :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/joint-pain,
/index.php/category/men,/products.html?category=men,200,Men Products :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/men,
/index.php/category/mood-support,/products.html?category=mood-support,200,Mood Support :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/mood-support,
/index.php/category/sleep-health,/products.html?category=sleep-health,200,Sleep Health :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/sleep-health,
/index.php/category/vision-health-support,/products.html?category=vision-health-support,200,Vision Health Support :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/vision-health-support,
/index.php/category/women,/products.html?category=women,200,Women Products :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/category/women,
/index.php/cbd,/products.html?search=CBD,200,CBD Shop :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/cbd,
/index.php/company,/about.html,200,Information :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/company,
/index.php/company/about,/about.html,200,About Us :: H&M Herbs & Vitamins,text/html; charset=UTF-8,https://hmherbs.com/index.php/company/about,
